source_filename,paper_title,model_or_method,metric,value,numeric_value,unit,dataset_or_case,evaluation_scope,data_resolution,condition,source_text_evidence,value_found_in_kb_text,value_found_in_source_chunk,source_chunk_scope,source_chunk_ids_checked,verification_status,raw_path,raw_value
1/49.bae2016.pdf,Pronóstico de irradiancia solar y generación de energía fotovoltaica mediante inteligencia artificial,,findings,"El esquema SVM mostró mejor desempeño en la predicción de irradiancia solar tanto para datos no clasificados como clasificados, con menores errores RMSE y MRE y mayor R2 en comparación con NAR y ANN. La clasificación de datos mediante clustering mejoró la precisión de predicción, especialmente en días soleados.",2.0,"El esquema SVM mostró mejor desempeño en la predicción de irradiancia solar tanto para datos no clasificados como clasificados, con menores errores RMSE y MRE y mayor R en comparación con NAR y ANN. La clasificación de datos mediante clustering mejoró la precisión de predicción, especialmente en días soleados.",,,,,,True,True,retrieved_by_03,f8b0f0723b47dd54_chunk_0029;f8b0f0723b47dd54_chunk_0038;f8b0f0723b47dd54_chunk_0040;f8b0f0723b47dd54_chunk_0043;f8b0f0723b47dd54_chunk_0044;f8b0f0723b47dd54_chunk_0045;f8b0f0723b47dd54_chunk_0049;f8b0f0723b47dd54_chunk_0054;f8b0f0723b47dd54_chunk_0058;f8b0f0723b47dd54_chunk_0061,confirmed_in_source_chunk,quantitative_results.findings,"""El esquema SVM mostró mejor desempeño en la predicción de irradiancia solar tanto para datos no clasificados como clasificados, con menores errores RMSE y MRE y mayor R2 en comparación con NAR y ANN. La clasificación de datos mediante clustering mejoró la precisión de predicción, especialmente en días soleados."""
1/49.bae2016.pdf,Pronóstico de irradiancia solar y generación de energía fotovoltaica mediante inteligencia artificial,metrics,metrics[2],R2 (Coeficiente de determinación),2.0,R (Coeficiente de determinación),,,,,,True,True,retrieved_by_03,f8b0f0723b47dd54_chunk_0029;f8b0f0723b47dd54_chunk_0038;f8b0f0723b47dd54_chunk_0040;f8b0f0723b47dd54_chunk_0043;f8b0f0723b47dd54_chunk_0044;f8b0f0723b47dd54_chunk_0045;f8b0f0723b47dd54_chunk_0049;f8b0f0723b47dd54_chunk_0054;f8b0f0723b47dd54_chunk_0058;f8b0f0723b47dd54_chunk_0061,confirmed_in_source_chunk,quantitative_results.metrics[2],"""R2 (Coeficiente de determinación)"""
1/50.energies-12-00100-v2.pdf,Using Smart Persistence and Random Forests to Predict Photovoltaic Energy Production,metrics,Precisión,"El modelo con todas las características es el más preciso para casi todos los módulos y horizontes, excepto para el módulo B en horizontes menores a 3 horas",3.0,"El modelo con todas las características es el más preciso para casi todos los módulos y horizontes, excepto para el módulo B en horizontes menores a  horas",,,,,,True,True,retrieved_by_03,3f57b3c5d8dd8539_chunk_0026;3f57b3c5d8dd8539_chunk_0027;3f57b3c5d8dd8539_chunk_0028;3f57b3c5d8dd8539_chunk_0031;3f57b3c5d8dd8539_chunk_0033;3f57b3c5d8dd8539_chunk_0034;3f57b3c5d8dd8539_chunk_0035;3f57b3c5d8dd8539_chunk_0036;3f57b3c5d8dd8539_chunk_0037;3f57b3c5d8dd8539_chunk_0039,confirmed_in_source_chunk,quantitative_results.metrics.Precisión,"""El modelo con todas las características es el más preciso para casi todos los módulos y horizontes, excepto para el módulo B en horizontes menores a 3 horas"""
1/51.energies-10-00186-v2.pdf,Pronóstico de irradiancia solar global mediante un modelo híbrido k-NN-ANN para estaciones fotovoltaicas,,main_results,"El modelo híbrido k-NN-ANN mostró un buen desempeño en la predicción de la irradiancia solar global a muy corto plazo (60 minutos), superando al modelo k-NN solo y al promedio de predicciones meteorológicas, con una buena concordancia entre datos reales y pronosticados.",60.0,"El modelo híbrido k-NN-ANN mostró un buen desempeño en la predicción de la irradiancia solar global a muy corto plazo ( minutos), superando al modelo k-NN solo y al promedio de predicciones meteorológicas, con una buena concordancia entre datos reales y pronosticados.",,,,,,True,True,retrieved_by_03,4e32012a4d9f9bff_chunk_0018;4e32012a4d9f9bff_chunk_0027;4e32012a4d9f9bff_chunk_0032;4e32012a4d9f9bff_chunk_0033;4e32012a4d9f9bff_chunk_0040;4e32012a4d9f9bff_chunk_0043;4e32012a4d9f9bff_chunk_0047;4e32012a4d9f9bff_chunk_0055;4e32012a4d9f9bff_chunk_0057;4e32012a4d9f9bff_chunk_0060,confirmed_in_source_chunk,quantitative_results.main_results,"""El modelo híbrido k-NN-ANN mostró un buen desempeño en la predicción de la irradiancia solar global a muy corto plazo (60 minutos), superando al modelo k-NN solo y al promedio de predicciones meteorológicas, con una buena concordancia entre datos reales y pronosticados."""
1/52.Multi-step-short-term-solar-radiation-prediction-based-on-empirical-mode-decomposition-and.pdf,Multi-step short-term solar radiation prediction based on empirical mode decomposition and hybrid EGA model,metrics,metrics[0],RMSE,,,,,,,,True,True,retrieved_by_03,d11a888248c14653_chunk_0020;d11a888248c14653_chunk_0037;d11a888248c14653_chunk_0049;d11a888248c14653_chunk_0050;d11a888248c14653_chunk_0058;d11a888248c14653_chunk_0063;d11a888248c14653_chunk_0065;d11a888248c14653_chunk_0072;d11a888248c14653_chunk_0074;d11a888248c14653_chunk_0075,confirmed_in_source_chunk,quantitative_results.metrics[0],"""RMSE"""
1/52.Multi-step-short-term-solar-radiation-prediction-based-on-empirical-mode-decomposition-and.pdf,Multi-step short-term solar radiation prediction based on empirical mode decomposition and hybrid EGA model,metrics,metrics[1],MAE,,,,,,,,True,True,retrieved_by_03,d11a888248c14653_chunk_0020;d11a888248c14653_chunk_0037;d11a888248c14653_chunk_0049;d11a888248c14653_chunk_0050;d11a888248c14653_chunk_0058;d11a888248c14653_chunk_0063;d11a888248c14653_chunk_0065;d11a888248c14653_chunk_0072;d11a888248c14653_chunk_0074;d11a888248c14653_chunk_0075,confirmed_in_source_chunk,quantitative_results.metrics[1],"""MAE"""
1/52.Multi-step-short-term-solar-radiation-prediction-based-on-empirical-mode-decomposition-and.pdf,Multi-step short-term solar radiation prediction based on empirical mode decomposition and hybrid EGA model,metrics,metrics[2],R2,2.0,R,,,,,,True,True,retrieved_by_03,d11a888248c14653_chunk_0020;d11a888248c14653_chunk_0037;d11a888248c14653_chunk_0049;d11a888248c14653_chunk_0050;d11a888248c14653_chunk_0058;d11a888248c14653_chunk_0063;d11a888248c14653_chunk_0065;d11a888248c14653_chunk_0072;d11a888248c14653_chunk_0074;d11a888248c14653_chunk_0075,confirmed_in_source_chunk,quantitative_results.metrics[2],"""R2"""
1/54.song2019.pdf,Pronóstico de irradiancia solar mediante métodos modernos de aprendizaje profundo,RMSE,TCN,RMSE un 6% mayor que LSTM,6.0,%,,,,,,True,True,retrieved_by_03,43271365fddbaa25_chunk_0003;43271365fddbaa25_chunk_0021;43271365fddbaa25_chunk_0023;43271365fddbaa25_chunk_0024;43271365fddbaa25_chunk_0026;43271365fddbaa25_chunk_0027;43271365fddbaa25_chunk_0028;43271365fddbaa25_chunk_0029;43271365fddbaa25_chunk_0030;43271365fddbaa25_chunk_0031,confirmed_in_source_chunk,quantitative_results.RMSE.TCN,"""RMSE un 6% mayor que LSTM"""
1/56.153_Adaptive.pdf,Adaptive Learning Hybrid Model for Precise Solar Intensity Forecasting Based on Meteorological Data,evaluation_metrics,evaluation_metrics[0],Normalized Root Mean Square Error (NRMSE),,,,,,,,True,True,retrieved_by_03,bc3737df4f9e08a2_chunk_0002;bc3737df4f9e08a2_chunk_0003;bc3737df4f9e08a2_chunk_0004;bc3737df4f9e08a2_chunk_0008;bc3737df4f9e08a2_chunk_0011;bc3737df4f9e08a2_chunk_0015;bc3737df4f9e08a2_chunk_0016;bc3737df4f9e08a2_chunk_0017;bc3737df4f9e08a2_chunk_0018;bc3737df4f9e08a2_chunk_0019,confirmed_in_source_chunk,quantitative_results.evaluation_metrics[0],"""Normalized Root Mean Square Error (NRMSE)"""
1/56.153_Adaptive.pdf,Adaptive Learning Hybrid Model for Precise Solar Intensity Forecasting Based on Meteorological Data,evaluation_metrics,evaluation_metrics[1],mean rank,,,,,,,,True,True,retrieved_by_03,bc3737df4f9e08a2_chunk_0002;bc3737df4f9e08a2_chunk_0003;bc3737df4f9e08a2_chunk_0004;bc3737df4f9e08a2_chunk_0008;bc3737df4f9e08a2_chunk_0011;bc3737df4f9e08a2_chunk_0015;bc3737df4f9e08a2_chunk_0016;bc3737df4f9e08a2_chunk_0017;bc3737df4f9e08a2_chunk_0018;bc3737df4f9e08a2_chunk_0019,confirmed_in_source_chunk,quantitative_results.evaluation_metrics[1],"""mean rank"""
1/57.1-s2.0-S0960148120308557-main.pdf,Short-term global horizontal irradiance forecasting based on a hybrid CNN-LSTM model with spatiotemporal correlations,,correlation_increase,aumento en el coeficiente de correlación R de hasta un 10.76% respecto al modelo de persistencia,10.76,%,,,,,,True,True,retrieved_by_03,c3bb0a7ccca0a4bd_chunk_0017;c3bb0a7ccca0a4bd_chunk_0018;c3bb0a7ccca0a4bd_chunk_0020;c3bb0a7ccca0a4bd_chunk_0036;c3bb0a7ccca0a4bd_chunk_0037;c3bb0a7ccca0a4bd_chunk_0038;c3bb0a7ccca0a4bd_chunk_0041;c3bb0a7ccca0a4bd_chunk_0049;c3bb0a7ccca0a4bd_chunk_0055;c3bb0a7ccca0a4bd_chunk_0069,confirmed_in_source_chunk,quantitative_results.correlation_increase,"""aumento en el coeficiente de correlación R de hasta un 10.76% respecto al modelo de persistencia"""
1/57.1-s2.0-S0960148120308557-main.pdf,Short-term global horizontal irradiance forecasting based on a hybrid CNN-LSTM model with spatiotemporal correlations,metrics_improved,metrics_improved[0],MAE,,,,,,,,True,True,retrieved_by_03,c3bb0a7ccca0a4bd_chunk_0017;c3bb0a7ccca0a4bd_chunk_0018;c3bb0a7ccca0a4bd_chunk_0020;c3bb0a7ccca0a4bd_chunk_0036;c3bb0a7ccca0a4bd_chunk_0037;c3bb0a7ccca0a4bd_chunk_0038;c3bb0a7ccca0a4bd_chunk_0041;c3bb0a7ccca0a4bd_chunk_0049;c3bb0a7ccca0a4bd_chunk_0055;c3bb0a7ccca0a4bd_chunk_0069,confirmed_in_source_chunk,quantitative_results.metrics_improved[0],"""MAE"""
1/57.1-s2.0-S0960148120308557-main.pdf,Short-term global horizontal irradiance forecasting based on a hybrid CNN-LSTM model with spatiotemporal correlations,metrics_improved,metrics_improved[1],RMSE,,,,,,,,True,True,retrieved_by_03,c3bb0a7ccca0a4bd_chunk_0017;c3bb0a7ccca0a4bd_chunk_0018;c3bb0a7ccca0a4bd_chunk_0020;c3bb0a7ccca0a4bd_chunk_0036;c3bb0a7ccca0a4bd_chunk_0037;c3bb0a7ccca0a4bd_chunk_0038;c3bb0a7ccca0a4bd_chunk_0041;c3bb0a7ccca0a4bd_chunk_0049;c3bb0a7ccca0a4bd_chunk_0055;c3bb0a7ccca0a4bd_chunk_0069,confirmed_in_source_chunk,quantitative_results.metrics_improved[1],"""RMSE"""
1/58.1-s2.0-S0306261921005158-main.pdf,Pronóstico de irradiancia solar global horizontal mediante modelos híbridos LSTM–CNN,evaluation_metrics,evaluation_metrics[3],Forecast Skill (FS) score,,,,,,,,True,True,retrieved_by_03,e1bf718cbfa6854b_chunk_0046;e1bf718cbfa6854b_chunk_0067;e1bf718cbfa6854b_chunk_0071;e1bf718cbfa6854b_chunk_0075;e1bf718cbfa6854b_chunk_0077;e1bf718cbfa6854b_chunk_0080;e1bf718cbfa6854b_chunk_0089;e1bf718cbfa6854b_chunk_0090;e1bf718cbfa6854b_chunk_0098;e1bf718cbfa6854b_chunk_0107,confirmed_in_source_chunk,quantitative_results.evaluation_metrics[3],"""Forecast Skill (FS) score"""
1/59.1-s2.0-S0960148120315652-main.pdf,Hourly forecasting of solar irradiance based on CEEMDAN and multistrategy CNN-LSTM neural networks,metrics,metrics[0],RMSE,,,,,,,,True,True,retrieved_by_03,4237f959d87fe007_chunk_0038;4237f959d87fe007_chunk_0047;4237f959d87fe007_chunk_0049;4237f959d87fe007_chunk_0055;4237f959d87fe007_chunk_0062;4237f959d87fe007_chunk_0063;4237f959d87fe007_chunk_0064;4237f959d87fe007_chunk_0069;4237f959d87fe007_chunk_0070;4237f959d87fe007_chunk_0079,confirmed_in_source_chunk,quantitative_results.metrics[0],"""RMSE"""
1/59.1-s2.0-S0960148120315652-main.pdf,Hourly forecasting of solar irradiance based on CEEMDAN and multistrategy CNN-LSTM neural networks,metrics,metrics[1],nRMSE,,,,,,,,True,True,retrieved_by_03,4237f959d87fe007_chunk_0038;4237f959d87fe007_chunk_0047;4237f959d87fe007_chunk_0049;4237f959d87fe007_chunk_0055;4237f959d87fe007_chunk_0062;4237f959d87fe007_chunk_0063;4237f959d87fe007_chunk_0064;4237f959d87fe007_chunk_0069;4237f959d87fe007_chunk_0070;4237f959d87fe007_chunk_0079,confirmed_in_source_chunk,quantitative_results.metrics[1],"""nRMSE"""
1/59.1-s2.0-S0960148120315652-main.pdf,Hourly forecasting of solar irradiance based on CEEMDAN and multistrategy CNN-LSTM neural networks,metrics,metrics[2],MAE,,,,,,,,True,True,retrieved_by_03,4237f959d87fe007_chunk_0038;4237f959d87fe007_chunk_0047;4237f959d87fe007_chunk_0049;4237f959d87fe007_chunk_0055;4237f959d87fe007_chunk_0062;4237f959d87fe007_chunk_0063;4237f959d87fe007_chunk_0064;4237f959d87fe007_chunk_0069;4237f959d87fe007_chunk_0070;4237f959d87fe007_chunk_0079,confirmed_in_source_chunk,quantitative_results.metrics[2],"""MAE"""
1/59.1-s2.0-S0960148120315652-main.pdf,Hourly forecasting of solar irradiance based on CEEMDAN and multistrategy CNN-LSTM neural networks,metrics,metrics[3],FS,,,,,,,,True,True,retrieved_by_03,4237f959d87fe007_chunk_0038;4237f959d87fe007_chunk_0047;4237f959d87fe007_chunk_0049;4237f959d87fe007_chunk_0055;4237f959d87fe007_chunk_0062;4237f959d87fe007_chunk_0063;4237f959d87fe007_chunk_0064;4237f959d87fe007_chunk_0069;4237f959d87fe007_chunk_0070;4237f959d87fe007_chunk_0079,confirmed_in_source_chunk,quantitative_results.metrics[3],"""FS"""
